M0042A,7.31,61.23,10.91,-0.334429,0.201838,0.251316,,1.5565
M0042A,7.41,61.33,10.93,-14.9364,2.23911,-0.175961,,5.5229
M0042A,7.51,61.43,10.95,25.2258,0.223778,0.0108511,,3.51829
M0042A,7.61,61.53,10.98,-0.095842,0.0586999,-0.00207175,,2.11204
M0042A,7.71,61.63,11.00,4.23897,0.142957,-0.0264531,,1.02194
M0042A,7.81,61.73,11.02,3.92015,0.168973,-0.0671011,,5.60695
M0042A,7.91,61.83,11.05,21.2116,1.25492,-0.0399756,,6.66542
M0042A,8.01,61.93,11.07,1.01218,-1.15311,2.72467,,7.12222
M0042A,8.11,62.03,11.09,-4.79691,2.77039,1.05946,,10.847
M0042A,8.21,62.13,11.11,-3.29534,2.62785,-0.064093,,9.03399
M0042A,8.31,62.23,11.14,-4.95465,1.00999,-0.0999945,,5.63089
M0042A,8.41,62.33,11.16,-2.80719,2.89285,-0.183549,,7.4278
M0042A,8.51,62.43,11.18,6.237,2.20293,0.00794136,,6.77681
M0042A,8.61,62.53,11.21,-52.2463,7.31938,1.44182,,8.12667
M0042A,8.71,62.63,11.23,5.92526,-0.232692,1.99156,,8.36992
M0042A,8.81,62.73,11.25,-3.90366,2.29801,1.2092,,9.62555
M0042A,8.91,62.83,11.28,-2.89674,2.21542,1.55216,,9.52278
M0042A,9.01,62.93,11.30,2018.74,452.926,145.395,,2125.82
M0042A,9.11,63.03,11.32,11.9911,0.394181,-0.0023185,,4.49917
M0042A,9.21,63.13,11.34,6.85461,0.932217,0.0171223,,3.60529
M0042A,9.31,63.23,11.37,-5.07197,3.46754,-0.0854232,,11.4828
M0042A,9.41,63.33,11.39,-0.129094,1.52375,0.0756101,,5.43292
M0042A,9.51,63.43,11.41,-2.19156,0.382006,1.14138,,7.20643
M0042A,9.61,63.53,11.44,7.84347,0.619223,1.39189,,8.44633
M0042A,9.71,63.63,11.46,-7.16177,1.74839,-0.0766645,,6.04356
M0042A,9.81,63.73,11.48,-0.326851,-0.0822268,0.308283,,1.8068
M0042A,9.91,63.83,11.51,25.5534,0.460872,-0.0574338,,7.20643
M0042A,10.01,63.93,11.53,-2.40756,1.75737,0.451676,,4.81813
M0042A,10.11,64.03,11.55,-3.27149,2.68262,-0.594615,,7.80696
M0042A,10.21,64.13,11.57,15.8423,-0.0923679,2.13871,,10.8034
M0042A,10.31,64.23,11.60,7.7333,-0.260215,2.30887,,5.98472
M0042A,10.41,64.33,11.62,12.9333,0.325887,0.995568,,6.59831
M0042A,10.51,64.43,11.64,3.65688,2.18178,0.00360732,,6.0331
M0042A,10.61,64.53,11.67,6.6614,-1.07837,3.37339,,9.61963
M0042A,10.71,64.63,11.69,1.06342,0.904319,-0.278098,,7.85663
M0042A,10.81,64.73,11.71,-34.3778,4.46989,-0.0246342,,4.79877
M0042A,10.91,64.83,11.74,-4.72681,3.38733,-0.103696,,9.57555
