,ALL GBR,southern GBR,Capricorn channel,southern-central GBR,northern-central GBR,northern GBR,sl
1,0.0,0.0,0.0,0.0,0.0,0.0,-130.0
2,0.3627286448529834,0.9265027132461122,0.7835964749457053,0.19216433671971744,0.10105110398304909,0.09259184091544301,-125.0
3,0.6591579317135485,1.3364648319624628,1.3799493011832908,0.3822526819124125,0.19831752760216473,0.18815120556145346,-120.0
4,0.9414237732351364,1.5722687116462741,1.9392425182782083,0.5910464128546314,0.289868532245717,0.2835110873432625,-115.0
5,1.2754947620884347,1.7979397234538987,2.6274231342185166,0.8079902011169402,0.38124453610959946,0.3735862536102721,-110.0
6,1.8918214937399993,2.0084081037370414,3.9312790199220125,1.1697486524307903,0.47755517051969143,0.46842991306924703,-105.0
7,2.6028832778394855,2.259395774207253,5.53606345969123,1.534329113574067,0.5849541918941343,0.5583517700651347,-100.0
8,3.339072007884563,2.5230000227970675,7.189940624611138,1.8915689949913987,0.6974550627288053,0.6504005267116603,-95.0
9,4.095545436081974,2.7968335511064004,8.843553663171928,2.31031810102782,0.8191202252460669,0.7473645200898785,-90.0
10,5.208643211885142,3.0512506267345008,11.365907176766928,2.873515746807773,0.9647217989561035,0.8468639639866866,-85.0
11,6.64044721418235,3.2909963358835093,14.32478942664017,3.9931126633521568,1.2264451790331232,0.9487494760200508,-80.0
12,8.849044501111788,3.632785028221383,17.698271408717154,6.956376441793616,1.8836581882765708,1.052106152168308,-75.0
13,12.077009620611982,4.151980636084394,22.11249247940694,11.542680490275382,3.9261728972485885,1.1642662300436546,-70.0
14,16.74331563988231,5.8623709042165855,28.245969464526965,18.638434334675583,6.589980771479777,1.2908288667465933,-65.0
15,22.500542567411827,8.225724803207331,36.27078417389571,27.858746363119042,9.955184640864005,1.4785175395808334,-60.0
16,28.138194487722572,10.581009932325234,43.889065573288505,37.386852553466795,13.285073681157918,1.7455985934373073,-55.0
17,34.09850025489254,15.231445377456133,50.87270038204091,47.86672928309079,17.467322551572007,2.3576580996110965,-50.0
18,39.09632626199036,20.99722158059788,56.111660526498056,54.99068066717317,24.280452028530817,4.0016906328176445,-45.0
19,44.70281074263846,29.83143777789493,61.19411332387402,61.02642810192439,33.536420994538524,8.602270624314896,-40.0
20,51.92241015459145,42.877108202428396,66.91548950161335,66.98385443507202,44.77304941474922,18.745300550874354,-35.0
21,60.63978438162226,59.025441151501276,72.53627235942523,72.58911295199329,56.047620787577145,35.495704359730155,-30.0
22,70.29186547446437,73.54567561747847,77.46028276504293,77.76906808576794,67.52604609345754,57.07908728404058,-25.0
23,79.2343235519601,82.13692095977613,82.52524084450614,83.15577887485826,77.39246627103327,71.98123261530512,-20.0
24,85.93615568610964,87.3611687865977,87.94701444992995,88.80089566486126,84.0929050438529,80.62357549393727,-15.0
25,90.973281904895,91.22414159333903,92.00371154223949,93.14065996683154,89.71031282946848,88.72125323653522,-10.0
26,95.47584392797397,95.30759421048658,95.54252893899431,96.69872441801525,95.0033242142228,95.93929588105424,-5.0
27,100.0,100.0,100.0,100.0,100.0,100.0,0.0
