,age,nominal esl (m),sealevel,2 sigma error esl
158,12.417,-66.41,-64.75,1.3
159,12.521,-66.99,-65.89,1.3
160,12.625,-67.57,-67.06,1.15
161,12.729,-68.15,-68.22,1.08
162,12.833,-68.76,-69.38,0.94
163,12.937,-69.42,-70.54,0.87
164,13.042,-70.08,-71.71,0.87
165,13.146,-70.74,-72.87,0.87
166,13.25,-71.4,-74.03,0.94
167,13.354,-72.06,-75.19,1.01
168,13.458,-72.74,-76.36,1.15
169,13.563,-73.42,-77.52,1.37
170,13.667,-74.1,-78.71,1.44
171,13.771,-74.78,-80.19,1.87
172,13.875,-75.46,-82.67,2.38
173,13.979,-76.17,-86.14,2.09
174,14.084,-76.93,-89.74,1.51
175,14.188,-82.05,-93.34,1.01
176,14.292,-87.98,-96.94,0.87
177,14.396,-91.66,-100.53,1.15
178,14.5,-95.14,-103.1,2.09
179,14.605,-96.23,-102.66,2.38
180,14.709,-96.76,-101.48,1.37
181,14.813,-97.29,-100.29,2.31
182,14.917,-97.82,-99.44,3.24
183,15.021,-98.36,-99.5,3.24
184,15.125,-99.01,-100.39,3.24
185,15.203,-100.03,-101.82,3.53
186,15.334,-101.05,-103.96,2.88
187,15.438,-102.06,-106.7,3.68
188,15.542,-103.08,-109.1,5.91
189,15.646,-104.1,-111.08,5.62
190,15.751,-105.13,-112.84,4.97
191,15.855,-106.19,-114.53,4.25
192,15.959,-107.25,-116.18,3.6
193,16.063,-108.3,-117.79,3.32
194,16.167,-109.36,-119.3,3.17
195,16.272,-110.41,-120.66,2.88
196,16.376,-111.41,-121.9,2.88
197,16.48,-112.39,-122.9,3.24
198,16.584,-113.04,-123.45,3.32
199,16.688,-113.63,-123.61,3.24
200,16.792,-114.21,-123.59,2.96
201,16.897,-114.79,-123.51,2.74
202,17.001,-115.37,-123.42,2.52
203,17.105,-115.95,-123.31,2.23
204,17.209,-116.54,-123.19,2.02
205,17.313,-117.12,-123.07,1.87
206,17.418,-117.7,-122.93,1.73
207,17.522,-118.28,-122.8,1.73
208,17.626,-118.84,-122.68,1.95
209,17.73,-119.3,-122.56,2.09
210,17.834,-119.77,-122.47,2.02
211,17.939,-120.23,-122.41,1.87
212,18.043,-120.7,-122.4,1.73
213,18.147,-121.16,-122.43,1.51
214,18.251,-121.62,-122.52,1.44
215,18.355,-122.09,-122.7,1.51
216,18.46,-122.56,-123.01,1.44
217,18.564,-123.02,-123.44,1.37
218,18.668,-123.49,-123.95,1.23
219,18.772,-123.95,-124.5,1.23
220,18.876,-124.42,-125.07,1.08
221,18.98,-125.41,-125.65,1.08
222,19.085,-126.42,-126.23,1.15
223,19.189,-127.42,-126.81,1.3
224,19.293,-128.43,-127.41,1.51
225,19.397,-129.43,-128.02,1.66
226,19.501,-130.43,-128.66,1.59
227,19.606,-131.44,-129.34,1.3
228,19.71,-132.44,-130.04,1.08
229,19.814,-133.45,-130.75,1.37
230,19.918,-134.45,-131.44,1.73
231,20.022,-135.35,-132.11,2.02
232,20.127,-135.85,-132.73,1.95
233,20.231,-136.34,-133.32,1.87
234,20.335,-136.82,-133.82,1.8
235,20.439,-137.3,-134.15,1.66
236,20.543,-137.77,-134.28,1.59
237,20.648,-138.24,-134.28,1.59
238,20.786,-138.86,-134.18,1.66
239,20.925,-139.48,-134.04,1.59
240,21.064,-139.66,-133.9,1.59
