Hole ID,Depth (mbsf),*Corrected Depth Below Sea Level (DS),Interpolated ages from graphs // coral samples (ka BP),K (Bq/kg),U (Bq/kg),Th (Bq/kg),TGR TP cps
M0031A,8.37,99.27,14.01,4.05792,-0.72294,1.99789,5.64828
M0031A,8.47,99.37,14.03,3.27985,4.35673,-3.9053,5.07157
M0031A,8.57,99.47,14.05,15.6683,0.868764,1.71999,9.28071
M0031A,8.67,99.57,14.08,4.90411,4.28918,-1.80792,6.20082
M0031A,8.77,99.67,14.10,6.8447,1.90607,-0.0159355,5.65644
M0031A,8.87,99.77,14.13,5.2466,2.16709,-0.172655,5.23869
M0031A,8.97,99.87,14.15,9.24643,2.22081,-0.0336952,8.44807
M0031A,9.07,99.97,14.18,-3.21953,3.18826,0.0412408,8.06825
M0031A,9.17,100.07,14.20,17.1234,0.451283,-0.00827029,3.96451
M0031A,9.27,100.17,14.23,-3.26542,0.551551,2.35354,8.65914
M0031A,9.37,100.27,14.25,22.8535,0.940888,-0.0298819,7.18166
M0031A,9.47,100.37,14.28,-0.602848,1.69092,0.613562,6.39678
M0031A,9.57,100.47,14.30,17.7583,-0.709264,1.35125,6.58729
M0031A,9.67,100.57,14.33,17.8863,1.1576,-0.0757336,7.28371
M0031A,9.77,100.67,14.35,5.63338,2.31564,0.206176,6.7816
M0031A,9.87,100.77,14.37,12.9559,0.14535,1.39624,7.69575
M0031A,9.97,100.87,14.40,13.734,1.24223,0.576448,6.7621
M0031A,10.07,100.97,14.42,-3.03438,3.84238,-0.0974493,7.89763
M0031A,10.17,101.07,14.45,-6.0504,3.69869,-0.046378,7.52426
M0031A,10.27,101.17,14.47,12.2201,-0.969616,2.99469,9.15787
M0031A,10.37,101.27,14.50,11.8728,0.825751,-0.0486284,5.08437
M0031A,10.47,101.37,14.52,28.9777,0.860503,-0.449278,6.34083
M0031A,10.57,101.47,14.55,-18.2068,4.10371,-0.099926,5.98708
M0031A,10.67,101.57,14.57,10.5883,1.16759,0.348808,5.44431
M0031A,10.77,101.67,14.60,-16.6929,4.18927,1.64798,5.47184
M0031A,10.87,101.77,14.62,10.0342,2.01936,-0.511129,6.93498
M0031A,10.97,101.87,14.65,9.35602,0.92547,0.829243,6.18969
M0031A,11.07,101.97,14.67,-4.17956,2.33587,0.542984,6.9412
M0031A,11.17,102.07,14.69,-2.44396,1.36539,0.726454,6.55541
M0031A,11.27,102.17,14.72,21.5932,-0.811246,1.503,7.82023
M0031A,11.37,102.27,14.74,1.119,2.04495,-0.0113351,5.42968
