,ALL GBR,southern GBR,Capricorn channel,southern-central GBR,northern-central GBR,northern GBR,sl,age,time_diff,ALL_GBR_time,southern_GBR_time,southern-central_GBR_time,northern-central_GBR_time,northern_GBR_time,Capricorn_channel_time,age_corr
1,,,,,,,-130.0,19.75,,,,,,,,
2,886.1042671728064,232.48148166593046,699.2723727858429,178.6292034968401,22.02106660725937,27.37226605600017,-125.0,18.925,-0.8249999999999993,1074.0657783912814,281.79573535264325,216.52024666283666,26.6922019481932,33.17850431030327,847.6028761040527,19.3375
3,724.142578010622,102.86920850145839,532.1783202886336,176.69943484533906,21.196308686798204,28.24953394783057,-120.0,16.25,-2.6750000000000007,270.7075057983633,38.45577887904985,66.05586349358468,7.923853714690916,10.560573438441333,198.94516646304055,17.5875
4,689.5429136862804,59.16878013168332,499.10675648214146,194.08730303449283,19.95080401650398,28.190562250340292,-115.0,15.9,-0.34999999999999964,1970.1226105322316,169.05365751909537,554.5351515271229,57.00229719001143,80.54446357240091,1426.0193042346914,16.075
5,816.0969169708842,56.62620351134353,614.1243708978473,201.6633094485478,19.912667829233044,26.628279465257037,-110.0,15.6,-0.3000000000000007,2720.3230565696076,188.754011704478,672.2110314951577,66.37555943077666,88.76093155085658,2047.0812363261527,15.75
6,1505.6151606401836,52.81150307765586,1163.5458148658017,336.27792294621395,20.988023007525072,28.037955124000007,-105.0,15.375,-0.22499999999999964,6691.6229361786045,234.71779145624862,1494.5685464276198,93.28010225566713,124.61313388444468,5171.314732736905,15.4875
7,1737.041973537649,62.978752977807176,1432.090953554858,338.90116395282166,23.404405395094017,26.58295773802371,-100.0,15.125,-0.25,6948.167894150596,251.9150119112287,1355.6046558112866,93.61762158037607,106.33183095209483,5728.363814219432,15.25
8,1798.424206066964,66.14455134284685,1475.900730015408,332.0776194177961,24.516200935722026,27.21171792397621,-95.0,14.225,-0.9000000000000004,1998.2491178521814,73.49394593649647,368.97513268643996,27.24022326191335,30.23524213775133,1639.8897000171194,14.675
9,1847.9773854095547,68.71131997888983,1475.6650267270943,389.2544295844082,26.513284288562346,28.664774329572253,-90.0,14.1,-0.125,14783.819083276438,549.6905598311187,3114.0354366752654,212.10627430849877,229.31819463657803,11805.320213816754,14.1625
10,2719.169558057678,63.83927198216645,2250.918914073083,523.5287077419807,31.729509390895373,29.4143114969998,-85.0,13.95,-0.15000000000000036,18127.79705371781,425.59514654777536,3490.19138494653,211.53006260596865,196.0954099799982,15006.12609382052,14.024999999999999
11,3497.73213170105,60.157878535219425,2640.4720769145088,1040.7378853628916,57.03478495712335,30.119687815429472,-80.0,13.774999999999999,-0.1750000000000007,19987.040752577348,343.75930591553816,5947.073630645071,325.9130568978464,172.11250180245344,15088.411868082845,13.862499999999999
12,5395.348584084568,85.76288064281403,3010.456051784451,2754.5457056690275,143.21992418939868,30.554597578176924,-75.0,13.35,-0.42499999999999893,12694.937844904898,201.79501327721,6481.2840133389045,336.98805691623306,71.89317077218118,7083.426004198726,13.5625
13,7885.54669519802,130.27847891296233,3939.199499737908,4263.266811934778,445.10500805735603,33.15708449159524,-70.0,12.899999999999999,-0.45000000000000107,17523.43710044,289.5077309176934,9473.926248743928,989.1222401274555,73.68240998132258,8753.776666084219,13.125
14,11399.247713908757,429.17744122864144,5473.443464774922,6595.963013072411,580.497276281385,37.41481031514877,-65.0,12.475,-0.42499999999999893,26821.7593268442,1009.8292734791588,15519.912971935124,1365.8759441914974,88.03484780035026,12878.69050535279,12.6875
15,14064.241740912868,593.0214863735347,7161.25123377544,8570.877519461155,733.3455611444672,55.48506475001443,-60.0,11.35,-1.125,12501.548214144772,527.1302101098086,7618.557795076583,651.8627210173041,49.32005755556838,6365.556652244835,11.9125
16,13772.133781844139,590.9968408453124,6798.465640204386,8856.992138440291,725.6497500848252,78.95526854631316,-55.0,11.024999999999999,-0.32500000000000107,42375.79625182798,1818.4518179855706,27252.283502893115,2232.768461799455,242.93928783480894,20918.355816013427,11.1875
17,14560.339936992328,1166.9044323549672,6232.114410321297,9741.724530750149,911.3960888440458,180.938789848586,-50.0,10.75,-0.2749999999999986,52946.69067997237,4243.288844927175,35424.45283909163,3314.1675957965476,657.9592358130434,22662.23421935029,10.8875
18,12209.112829430785,1446.7698534461692,4675.187048791711,6622.174453446723,1484.7178516838335,486.0136212730169,-45.0,10.45,-0.3000000000000007,40697.04276476919,4822.566178153886,22073.91484482236,4949.059505612767,1620.0454042433857,15583.956829305667,10.6
19,13695.995319459646,2216.714146156225,4535.521714080449,5610.618365416389,2017.061675539659,1360.0366759547899,-40.0,10.1,-0.34999999999999964,39131.41519845617,6333.468989017792,16030.338186903984,5763.033358684746,3885.8190741565463,12958.633468801296,10.274999999999999
20,17636.649150779645,3273.467790498858,5105.689501328336,5537.813826159723,2448.687180339868,2998.5116509056393,-35.0,9.7,-0.40000000000000036,44091.62287694908,8183.669476247138,13844.534565399295,6121.717950849665,7496.279127264092,12764.223753320828,9.899999999999999
21,21295.54037356231,4051.9993268902413,5015.921193581733,5210.45102001377,2456.9557123392865,4951.802502988887,-30.0,9.274999999999999,-0.4250000000000007,50107.15382014653,9534.11606327114,12259.884752973556,5781.072264327723,11651.300007032656,11802.16751430994,9.487499999999999
22,23578.921501862234,3643.4708442028964,4394.129568024209,4815.103965129207,2501.379581658446,6380.541675721468,-25.0,9.0,-0.2749999999999986,85741.53273404493,13248.9848880106,17509.468964106298,9095.925751485305,23201.969729896366,15978.652974633571,9.1375
