,ALL GBR,southern GBR,Capricorn channel,southern-central GBR,northern-central GBR,northern GBR,sl,age,time_diff,ALL_GBR_time,southern_GBR_time,southern-central_GBR_time,northern-central_GBR_time,northern_GBR_time,Capricorn_channel_time,age_corr
1,,,,,,,-130.0,19.75,,,,,,,,
2,879.014556589784,232.4814766306116,699.272363677037,25.481903738328583,3.1133115208571502,27.37226428400004,-125.0,18.925,-0.8249999999999993,1065.4721898057996,281.79572924922644,30.887156046458916,3.7737109343723065,33.178502162424316,847.6028650630759,19.3375
3,712.0535929959206,102.86922481922886,532.1783273024066,25.20373884867916,2.9894867988571354,28.24953439027604,-120.0,16.25,-2.6750000000000007,266.1882590638955,38.45578497915097,9.421958448104355,1.1175651584512654,10.560573603841508,198.94516908501177,17.5875
4,692.753533048223,59.16876650031304,498.2550477953682,27.652521533880645,2.805976620142904,28.19056509805995,-115.0,15.9,-0.34999999999999964,1979.2958087092104,169.05361857232313,79.0072043825162,8.017076057551161,80.54447170874279,1423.5858508439107,16.075
5,779.8766110349378,56.626212479430365,574.2713784423377,28.68910252619545,2.7915236187142756,26.628276628491847,-110.0,15.6,-0.3000000000000007,2599.5887034497864,188.75404159810077,95.63034175398461,9.305078729047564,88.76092209497261,1914.237928141121,15.75
6,1040.7955007941314,52.8115088186446,700.2845695025899,47.68428678523235,2.9364912355713995,28.03795750399985,-105.0,15.375,-0.22499999999999964,4625.757781307258,234.71781697175413,211.9301634899219,13.05107215809513,124.61314446222174,3112.37586445596,15.4875
7,1043.3998330025834,62.97875030627711,738.4797055936178,47.69164626753497,3.286463582571457,26.582958182785944,-100.0,15.125,-0.25,4173.5993320103335,251.91500122510843,190.76658507013988,13.145854330285829,106.33183273114378,2953.9188223744713,15.25
8,987.482888501334,66.14455138933931,681.0867700728049,45.75049622802804,3.4045572157142607,27.211716323214034,-95.0,14.225,-0.9000000000000004,1097.2032094459262,73.49394598815476,50.83388469780891,3.7828413507936216,30.235240359126692,756.7630778586719,14.675
9,999.316394922474,68.7113271049991,661.3379200155005,50.93455825038317,3.6630772412485846,28.664773775094602,-90.0,14.1,-0.125,7994.531159379792,549.6906168399928,407.47646600306535,29.304617929988677,229.31819020075682,5290.703360124004,14.1625
10,999.570674290153,63.83926868759647,644.7192013455306,59.90108660057857,4.095700710213167,29.414314540999953,-85.0,13.95,-0.15000000000000036,6663.804495267671,425.59512458397546,399.34057733718953,27.30467140142105,196.09543027333257,4298.128008970193,14.024999999999999
11,1168.0496307068388,60.15787496447308,588.6384646966299,97.34599309294428,6.752159454969237,30.11104650609451,-80.0,13.774999999999999,-0.1750000000000007,6674.569318324766,343.75928551127333,556.2628176739651,38.58376831410977,172.06312289196794,3363.648369695014,13.862499999999999
12,1997.4631106584868,85.76286656722311,626.255866652994,198.46037953842915,18.30614816995928,30.533410072914933,-75.0,13.35,-0.42499999999999893,4699.913201549392,201.79498015817254,466.96559891395214,43.073289811669,71.84331781862355,1473.5432156541071,13.5625
13,2724.9462790096695,130.27849950703126,806.5273628384184,231.9365015745612,57.47835428920221,33.090298558694144,-70.0,12.899999999999999,-0.45000000000000107,6055.436175577029,289.50777668229097,515.4144479434681,127.72967619822683,73.53399679709793,1792.2830285298144,13.125
14,2768.4758902575077,429.1515789923566,1214.8627564228063,200.2087543348472,56.90611142124112,33.91041425785755,-65.0,12.475,-0.42499999999999893,6514.060918252975,1009.7684211584886,471.07942196434755,133.8967327558618,79.78921001848856,2858.5006033477866,12.6875
15,2317.3584039699344,567.3216376441738,1115.1180289482318,143.35373862110868,48.56353780147616,42.46768933641795,-60.0,11.35,-1.125,2059.874136862164,504.28590012815454,127.42554544098549,43.1675891568677,37.749057187927065,991.2160257317615,11.9125
16,1684.090374436358,482.07465002060417,640.126728410236,83.6543954312878,42.97908502964339,56.73613485795869,-55.0,11.024999999999999,-0.32500000000000107,5181.816536727239,1483.306615448008,257.398139788577,132.24333855274847,174.57272263987232,1969.6207028007195,11.1875
17,1514.7942291964557,535.3294022973264,383.7953912977637,65.79620810272289,41.31045637306181,78.44379689871232,-50.0,10.75,-0.2749999999999986,5508.342651623504,1946.652371990288,239.2589385553572,150.21984135658917,285.2501705407735,1395.619604719148,10.8875
18,1282.41018429851,372.2581978903422,273.4144612558148,54.938495811911444,42.16492334135017,100.60229842058493,-45.0,10.45,-0.3000000000000007,4274.700614328357,1240.8606596344712,183.12831937303773,140.5497444711669,335.3409947352823,911.3815375193805,10.6
19,994.4960889076681,189.66475683773956,160.79017271530392,45.34015081751165,28.42479050362558,163.4929768558028,-40.0,10.1,-0.34999999999999964,2841.4173968790546,541.899305250685,129.54328805003342,81.21368715321603,467.12279101657987,459.4004934722974,10.274999999999999
20,851.6131086045509,118.142535217145,113.00612957019712,40.88609626015217,16.65697688698817,176.25449042475083,-35.0,9.7,-0.40000000000000036,2129.0327715113754,295.3563380428622,102.21524065038034,41.64244221747038,440.6362260618767,282.51532392549257,9.899999999999999
21,859.2662379512885,118.93502981991946,129.82689064514034,32.19580658882582,12.572733719427248,165.25882936775548,-30.0,9.274999999999999,-0.4250000000000007,2021.8029128265578,279.8471289880453,75.75483903253121,29.582902869240534,388.8443043947181,305.4750368120944,9.487499999999999
22,699.8872559007864,111.09109332992807,107.48003997774777,28.190704797210987,10.840820315533149,98.27990433750307,-25.0,9.0,-0.2749999999999986,2545.0445669119636,403.9676121088314,102.51165380804048,39.421164783757106,357.38147031819483,390.8365090099939,9.1375
