,MAR Carb GC25,,,MAR sil GC25
0,8.57137,,0,7.009397
2,12.0094595,,2,9.901982
4,9.8103285,,4,11.953292
6,6.9597435,,6,6.995409
8,11.934783,,8,6.009387
10,12.857158,,12,9.878566
12,9.866617,,14,7.864455
14,6.8758726,,16,4.4487314
16,3.000143,,18,5.0048165
18,2.990949,,20,5.000051
20,2.422446,,,
